,x,y
0,1e-05,0.018
1,13125.0,0.019
2,47500.0,0.02
3,90000.0,0.021
4,125961.0,0.022
5,150486.6,0.023
6,199851.9,0.024
7,250000.0,0.025
8,298676.9,0.027
9,396654.3,0.03
10,499629.8,0.033
11,596911.4,0.035
12,670184.3,0.038
13,711030.0,0.039
14,792721.3,0.041
15,896360.6,0.044
16,1000000.0,0.047
17,1240120.0,0.054
18,1308294.0,0.056
19,1353792.0,0.058
20,1425022.0,0.06
21,1500000.0,0.062
22,1750000.0,0.069
23,2000000.0,0.076
24,2060580.0,0.078
25,2075532.0,0.079
26,2299810.0,0.085
27,2322236.0,0.086
28,2399930.0,0.088
29,2450120.0,0.089
30,2512922.0,0.091
31,2569194.0,0.093
32,2619464.0,0.094
33,2684093.0,0.096
34,2739409.0,0.098
35,2802354.0,0.1
36,2850510.0,0.101
37,2924300.0,0.103
38,3000000.0,0.105
39,3080280.0,0.108
40,3155830.0,0.11
41,3250738.0,0.113
42,3336120.0,0.115
43,3448988.0,0.118
44,3513482.0,0.12
45,3629262.0,0.124
46,3752657.0,0.127
47,3839187.0,0.13
48,3972830.0,0.134
49,4000000.0,0.135
50,4082780.0,0.137
51,4160242.0,0.139
52,4256965.0,0.142
53,4343440.0,0.144
54,4454708.0,0.148
55,4550022.0,0.151
56,4658570.0,0.154
57,4773223.0,0.157
58,4853009.0,0.159
59,4975257.0,0.163
60,5000000.0,0.164
61,5084387.0,0.166
62,5163069.0,0.168
63,5211775.0,0.17
64,5304340.0,0.172
65,5386682.0,0.175
66,5459779.0,0.177
67,5553132.0,0.18
68,5632490.0,0.182
69,5722201.0,0.185
70,5790421.0,0.187
71,5894279.0,0.19
72,6000000.0,0.193
73,6083675.0,0.195
74,6154603.0,0.197
75,6234566.0,0.2
76,6321393.0,0.202
77,6400570.0,0.204
78,6480740.0,0.207
79,6571119.0,0.209
80,6647731.0,0.212
81,6734101.0,0.214
82,6827885.0,0.217
83,6913407.0,0.219
84,7000000.0,0.222
85,7117819.0,0.225
86,7241398.0,0.229
87,7326884.0,0.231
88,7457055.0,0.235
89,7483310.0,0.236
90,7609265.0,0.24
91,7737340.0,0.243
92,7966755.0,0.25
93,8000000.0,0.251
94,8242640.0,0.258
95,8485280.0,0.265
96,9000000.0,0.28
97,9240211.0,0.287
98,9424567.0,0.292
99,9708021.0,0.301
100,10000000.0,0.309
101,10870500.0,0.334
102,11000000.0,0.338
103,12000000.0,0.367
104,14000000.0,0.425
105,15000000.0,0.44
106,21000000.0,0.434
107,22000000.0,0.43
108,23000000.0,0.425
109,24000000.0,0.422
110,25000000.0,0.418
111,26000000.0,0.415
112,27000000.0,0.412
113,28000000.0,0.409
114,29000000.0,0.405
115,30000000.0,0.401
116,32000000.0,0.396
117,34000000.0,0.39
118,36000000.0,0.386
119,38000000.0,0.381
120,40000000.0,0.376
121,42000000.0,0.373
122,44000000.0,0.369
123,46000000.0,0.368
124,48000000.0,0.363
125,50000000.0,0.361
126,54000000.0,0.357
127,56000000.0,0.353
128,60000000.0,0.354
