,x,y
0,1e-05,0.0
1,15037.51,0.001
2,25154.91,0.001
3,50272.56,0.002
4,60061.0,0.002
5,71543.57,0.003
6,90116.99,0.003
7,100470.7,0.004
8,150000.0,0.005
9,195072.9,0.007
10,250000.0,0.009
11,298676.9,0.011
12,399872.3,0.014
13,700818.5,0.025
14,1000000.0,0.035
15,1500000.0,0.053
16,2000000.0,0.071
17,3000000.0,0.106
18,4000000.0,0.142
19,6000000.0,0.213
20,12000000.0,0.426
21,20000000.0,0.514
22,21000000.0,0.513
23,22000000.0,0.514
24,23000000.0,0.513
25,24000000.0,0.514
26,26000000.0,0.514
27,27000000.0,0.515
28,28000000.0,0.514
29,29000000.0,0.513
30,30000000.0,0.514
31,32000000.0,0.514
32,34000000.0,0.514
33,36000000.0,0.515
34,38000000.0,0.513
35,40000000.0,0.514
36,42000000.0,0.512
37,44000000.0,0.51
38,46000000.0,0.511
39,48000000.0,0.51
40,50000000.0,0.508
41,52000000.0,0.507
42,54000000.0,0.507
43,58000000.0,0.505
44,60000000.0,0.504
