,x,y
0,1e-05,0.41
1,30000.0,0.41
2,46500.0,0.409
3,100000.0,0.408
4,150000.0,0.407
5,215000.0,0.406
6,300000.0,0.405
7,465000.0,0.402
8,700000.0,0.398
9,1000000.0,0.392
10,1500000.0,0.384
11,2150000.0,0.372
12,3000000.0,0.357
13,4650000.0,0.328
14,7000000.0,0.287
15,10000000.0,0.234
16,12000000.0,0.199
17,13000000.0,0.181
18,14000000.0,0.163
19,15000000.0,0.155
20,22000000.0,0.155
21,24000000.0,0.154
22,27000000.0,0.154
23,29000000.0,0.154
24,30000000.0,0.153
25,32000000.0,0.153
26,34000000.0,0.153
27,36000000.0,0.152
28,38000000.0,0.151
29,40000000.0,0.151
30,42000000.0,0.15
31,44000000.0,0.149
32,46000000.0,0.149
33,48000000.0,0.148
34,50000000.0,0.147
35,52000000.0,0.146
36,54000000.0,0.146
37,56000000.0,0.145
38,58000000.0,0.144
39,60000000.0,0.144
