,x,y
0,1e-05,0.007
1,22000.0,0.008
2,70000.0,0.009
3,100000.0,0.01
4,150000.0,0.011
5,220000.0,0.013
6,300000.0,0.016
7,470000.0,0.021
8,700000.0,0.028
9,1000000.0,0.037
10,1500000.0,0.052
11,2200000.0,0.073
12,3000000.0,0.097
13,4700000.0,0.147
14,7000000.0,0.216
15,10000000.0,0.306
16,12000000.0,0.365
17,13000000.0,0.395
18,14000000.0,0.425
19,15000000.0,0.44
20,21000000.0,0.438
21,22000000.0,0.437
22,24000000.0,0.433
23,25000000.0,0.435
24,26000000.0,0.432
25,28000000.0,0.43
26,29000000.0,0.429
27,30000000.0,0.42
28,32000000.0,0.418
29,34000000.0,0.411
30,36000000.0,0.413
31,38000000.0,0.405
32,40000000.0,0.404
33,42000000.0,0.398
34,44000000.0,0.395
35,46000000.0,0.393
36,48000000.0,0.389
37,50000000.0,0.387
38,52000000.0,0.384
39,54000000.0,0.378
40,58000000.0,0.376
41,60000000.0,0.371
