,x,y
0,1e-05,0.5
1,30000.0,0.501
2,88750.0,0.502
3,143340.0,0.503
4,200000.0,0.504
5,261515.0,0.505
6,309375.0,0.506
7,375000.0,0.507
8,422500.0,0.508
9,490000.0,0.509
10,535000.0,0.51
11,597500.0,0.511
12,652500.0,0.512
13,710600.0,0.513
14,760000.0,0.514
15,813380.0,0.515
16,868839.3,0.516
17,930714.0,0.517
18,978399.0,0.518
19,1033558.0,0.519
20,1090080.0,0.52
21,1155425.0,0.521
22,1207500.0,0.522
23,1262500.0,0.523
24,1335000.0,0.524
25,1370000.0,0.525
26,1440000.0,0.526
27,1500000.0,0.527
28,1545000.0,0.528
29,1635000.0,0.529
30,1680000.0,0.53
31,1725000.0,0.531
32,1770000.0,0.532
33,1835000.0,0.533
34,1900000.0,0.534
35,1950000.0,0.535
36,2000000.0,0.536
37,2050000.0,0.537
38,2100000.0,0.538
39,2150000.0,0.539
40,2275000.0,0.541
41,2350000.0,0.542
42,2425000.0,0.543
43,2500000.0,0.545
44,2582500.0,0.546
45,2655000.0,0.548
46,2727500.0,0.549
47,2800000.0,0.55
48,2865000.0,0.551
49,2930000.0,0.553
50,3000000.0,0.554
51,3062500.0,0.555
52,3125000.0,0.556
53,3187500.0,0.557
54,3250000.0,0.558
55,3312500.0,0.559
56,3375000.0,0.56
57,3437500.0,0.562
58,3500000.0,0.563
59,3580000.0,0.564
60,3660000.0,0.566
61,3740000.0,0.567
62,3820000.0,0.568
63,3910000.0,0.57
64,4000000.0,0.572
65,4092500.0,0.573
66,4185000.0,0.575
67,4277500.0,0.577
68,4370000.0,0.578
69,4435000.0,0.58
70,4500000.0,0.581
71,4565000.0,0.582
72,4630000.0,0.583
73,4695000.0,0.584
74,4760000.0,0.585
75,4825000.0,0.586
76,4890000.0,0.588
77,4945000.0,0.589
78,5000000.0,0.59
79,5062500.0,0.591
80,5125000.0,0.592
81,5187500.0,0.593
82,5250000.0,0.594
83,5335000.0,0.596
84,5420000.0,0.597
85,5505000.0,0.599
86,5590000.0,0.6
87,5657500.0,0.601
88,5725000.0,0.603
89,5792500.0,0.604
90,5860000.0,0.605
91,5930000.0,0.606
92,6000000.0,0.608
93,6085000.0,0.609
94,6127500.0,0.61
95,6170000.0,0.611
96,6245000.0,0.612
97,6282500.0,0.613
98,6357500.0,0.614
99,6395000.0,0.615
100,6470000.0,0.616
101,6540555.0,0.617
102,6600370.0,0.618
103,6660185.0,0.619
104,6720000.0,0.62
105,6796650.0,0.622
106,6873300.0,0.623
107,6921650.0,0.624
108,6970000.0,0.625
109,7000000.0,0.626
110,7059405.0,0.627
111,7118810.0,0.628
112,7178215.0,0.629
113,7237620.0,0.63
114,7299043.0,0.631
115,7360465.0,0.632
116,7421888.0,0.633
117,7483310.0,0.634
118,7546818.0,0.635
119,7610325.0,0.636
120,7673833.0,0.638
121,7737340.0,0.639
122,7803005.0,0.64
123,7868670.0,0.641
124,7934335.0,0.642
125,8000000.0,0.643
126,8119535.0,0.646
127,8239070.0,0.648
128,8362175.0,0.65
129,8485280.0,0.652
130,8612065.0,0.654
131,8738850.0,0.657
132,8869425.0,0.659
133,8934713.0,0.66
134,9000000.0,0.661
135,9243415.0,0.666
136,9365123.0,0.668
137,9486830.0,0.67
138,9625000.0,0.673
139,9750000.0,0.675
140,9875000.0,0.677
141,9937500.0,0.678
142,10000000.0,0.679
143,10250000.0,0.684
144,10500000.0,0.688
145,10625000.0,0.691
146,10750000.0,0.693
147,10875000.0,0.695
148,11000000.0,0.697
149,11250000.0,0.702
150,11500000.0,0.706
151,11625000.0,0.708
152,11750000.0,0.711
153,11875000.0,0.713
154,12000000.0,0.715
155,12163030.0,0.718
156,12326050.0,0.721
157,12489080.0,0.724
158,12652100.0,0.727
159,12826050.0,0.73
160,13000000.0,0.733
161,13250000.0,0.738
162,13500000.0,0.742
163,13750000.0,0.747
164,13875000.0,0.749
165,14000000.0,0.751
166,14250000.0,0.756
167,14500000.0,0.76
168,21000000.0,0.763
169,22000000.0,0.766
170,23000000.0,0.767
171,24000000.0,0.77
172,25000000.0,0.773
173,26000000.0,0.774
174,27000000.0,0.777
175,28000000.0,0.779
176,29000000.0,0.78
177,30000000.0,0.782
178,32000000.0,0.785
179,36000000.0,0.795
180,38000000.0,0.794
181,42000000.0,0.715
182,44000000.0,0.708
183,46000000.0,0.703
184,50000000.0,0.704
185,52000000.0,0.7
186,54000000.0,0.696
187,56000000.0,0.694
188,58000000.0,0.695
189,60000000.0,0.698
