,x,y
0,1e-05,0.999
1,15000.0,0.998
2,40000.0,0.997
3,50000.0,0.996
4,70000.0,0.995
5,80000.0,0.994
6,100000.0,0.993
7,400000.0,0.99
8,500000.0,0.988
9,600000.0,0.986
10,700000.0,0.983
11,800000.0,0.981
12,900000.0,0.978
13,1000000.0,0.976
14,1500000.0,0.963
15,2000000.0,0.951
16,2500000.0,0.94
17,3000000.0,0.929
18,4000000.0,0.847
19,4200000.0,0.839
20,4400000.0,0.832
21,4600000.0,0.826
22,4800000.0,0.82
23,5000000.0,0.815
24,5200000.0,0.811
25,5400000.0,0.807
26,5600000.0,0.804
27,5800000.0,0.799
28,6000000.0,0.798
29,6200000.0,0.794
30,6600000.0,0.791
31,6800000.0,0.793
32,7200000.0,0.797
33,7400000.0,0.801
34,7600000.0,0.804
35,7800000.0,0.81
36,8000000.0,0.814
37,8500000.0,0.82
38,9000000.0,0.818
39,9500000.0,0.812
40,10000000.0,0.803
41,10500000.0,0.795
42,11000000.0,0.787
43,11500000.0,0.779
44,12000000.0,0.773
45,12500000.0,0.766
46,13000000.0,0.76
47,13500000.0,0.754
48,14000000.0,0.75
49,14500000.0,0.747
50,15000000.0,0.746
51,16000000.0,0.748
52,17000000.0,0.752
53,18000000.0,0.757
54,19000000.0,0.76
55,20000000.0,0.764
56,21000000.0,0.766
57,22000000.0,0.771
58,23000000.0,0.773
59,24000000.0,0.777
60,25000000.0,0.78
61,26000000.0,0.783
62,27000000.0,0.787
63,28000000.0,0.789
64,29000000.0,0.792
65,30000000.0,0.794
66,32000000.0,0.799
67,34000000.0,0.803
68,36000000.0,0.808
69,38000000.0,0.811
70,40000000.0,0.816
71,42000000.0,0.818
72,44000000.0,0.82
73,46000000.0,0.823
74,48000000.0,0.825
75,50000000.0,0.827
76,52000000.0,0.826
77,54000000.0,0.828
78,56000000.0,0.829
79,58000000.0,0.833
80,60000000.0,0.823
