,x,y
0,1e-05,0.111
1,22500.0,0.112
2,67500.0,0.113
3,110000.1,0.114
4,156250.0,0.115
5,200000.0,0.116
6,250000.0,0.117
7,287500.0,0.118
8,337500.0,0.119
9,375000.0,0.12
10,425000.0,0.121
11,475000.0,0.122
12,525000.0,0.123
13,575000.0,0.124
14,600000.0,0.125
15,672810.0,0.126
16,700000.0,0.127
17,750000.0,0.128
18,800000.0,0.129
19,850000.0,0.13
20,900000.0,0.131
21,950000.0,0.133
22,1000000.0,0.134
23,1150000.0,0.137
24,1307800.0,0.141
25,1451300.0,0.144
26,1600000.0,0.147
27,1817500.0,0.152
28,1978000.0,0.156
29,2056000.0,0.158
30,2126400.0,0.159
31,2183700.0,0.161
32,2231000.0,0.162
33,2321000.0,0.164
34,2368600.0,0.165
35,2413200.0,0.166
36,2488000.0,0.167
37,2600000.0,0.17
38,2745600.0,0.173
39,2815900.0,0.175
40,3000000.0,0.179
41,3250000.0,0.185
42,3500000.0,0.19
43,4000000.0,0.202
44,4500000.0,0.213
45,5000000.0,0.224
46,5500000.0,0.236
47,6000000.0,0.247
48,6500000.0,0.258
49,6952100.0,0.269
50,7200000.0,0.274
51,7500000.0,0.281
52,8000000.0,0.293
53,8500000.0,0.304
54,8750000.0,0.31
55,9003000.0,0.315
56,9193600.0,0.32
57,9344100.0,0.323
58,9500000.0,0.327
59,9750000.0,0.332
60,10000000.0,0.338
61,10250000.0,0.344
62,10500000.0,0.349
63,10750000.0,0.355
64,11000000.0,0.361
65,11500000.0,0.372
66,12000000.0,0.383
67,12500000.0,0.395
68,13000000.0,0.406
69,13500000.0,0.417
70,14000000.0,0.429
71,14500000.0,0.44
72,20000000.0,0.382
73,60000000.0,0.382
