,x,y
0,1e-05,0.75
1,21663.83,0.749
2,65677.33,0.748
3,110703.2,0.747
4,150230.4,0.746
5,200102.3,0.745
6,238358.2,0.744
7,282991.0,0.743
8,317485.8,0.742
9,356458.3,0.741
10,421633.4,0.74
11,503728.5,0.738
12,582797.5,0.736
13,690679.7,0.733
14,755806.5,0.732
15,799224.4,0.731
16,842642.3,0.73
17,897109.4,0.728
18,937959.7,0.727
19,1006043.0,0.726
20,1060511.0,0.724
21,1116453.0,0.723
22,1167819.0,0.722
23,1235796.0,0.72
24,1295722.0,0.719
25,1365884.0,0.717
26,1445279.0,0.715
27,1520673.0,0.713
28,1600000.0,0.711
29,1727559.0,0.708
30,1820313.0,0.706
31,1938215.0,0.703
32,2151153.0,0.698
33,2286409.0,0.695
34,2447066.0,0.691
35,2624576.0,0.687
36,2752933.0,0.684
37,2957637.0,0.679
38,3000000.0,0.678
39,3288400.0,0.671
40,3550984.0,0.664
41,3868156.0,0.657
42,4239487.0,0.648
43,4604067.0,0.639
44,5000000.0,0.629
45,5106261.0,0.627
46,5207931.0,0.624
47,5351246.0,0.621
48,5486213.0,0.618
49,5610313.0,0.615
50,5726649.0,0.612
51,5872192.0,0.608
52,6002574.0,0.605
53,6170687.0,0.601
54,6315005.0,0.598
55,6479698.0,0.594
56,6654038.0,0.589
57,6775588.0,0.586
58,6962191.0,0.582
59,7000000.0,0.581
60,7319152.0,0.573
61,7913081.0,0.559
62,8576089.0,0.543
63,9059715.0,0.531
64,9838100.0,0.513
65,10000000.0,0.509
66,12093060.0,0.458
67,15000000.0,0.4
68,21000000.0,0.403
69,22000000.0,0.401
70,23000000.0,0.405
71,25000000.0,0.4
72,26000000.0,0.404
73,27000000.0,0.401
74,28000000.0,0.403
75,32000000.0,0.404
76,34000000.0,0.403
77,36000000.0,0.402
78,40000000.0,0.403
79,46000000.0,0.406
80,52000000.0,0.412
81,54000000.0,0.415
82,56000000.0,0.409
83,58000000.0,0.41
84,60000000.0,0.423
