,x,y
0,1e-05,0.194
1,50000.0,0.194
2,100000.0,0.195
3,200000.0,0.196
4,300000.0,0.197
5,400000.0,0.198
6,500000.0,0.199
7,600000.0,0.2
8,700000.0,0.201
9,800000.0,0.202
10,900000.0,0.202
11,1000000.0,0.203
12,1200000.0,0.205
13,1400000.0,0.207
14,1600000.0,0.209
15,1800000.0,0.211
16,2000000.0,0.213
17,2200000.0,0.215
18,2400000.0,0.217
19,2600000.0,0.219
20,2800000.0,0.221
21,3000000.0,0.223
22,3200000.0,0.225
23,3400000.0,0.227
24,3600000.0,0.229
25,3800000.0,0.231
26,4000000.0,0.233
27,4200000.0,0.235
28,4400000.0,0.237
29,4600000.0,0.239
30,4800000.0,0.241
31,5000000.0,0.243
32,5200000.0,0.245
33,5400000.0,0.247
34,5600000.0,0.249
35,5800000.0,0.251
36,6000000.0,0.253
37,6200000.0,0.255
38,6400000.0,0.257
39,6600000.0,0.259
40,6800000.0,0.261
41,7000000.0,0.263
42,7200000.0,0.265
43,7400000.0,0.267
44,7600000.0,0.269
45,7800000.0,0.271
46,8000000.0,0.273
47,8500000.0,0.277
48,9000000.0,0.282
49,9500000.0,0.287
50,10000000.0,0.292
51,10500000.0,0.297
52,11000000.0,0.302
53,11500000.0,0.307
54,12000000.0,0.312
55,12500000.0,0.317
56,13000000.0,0.322
57,13500000.0,0.327
58,14000000.0,0.332
59,14500000.0,0.337
60,60000000.0,0.337
