,x,y
0,1e-05,0.413
1,1000.0,0.402
2,2000.0,0.389
3,5000.0,0.363
4,10000.0,0.344
5,20000.0,0.33
6,50000.0,0.319
7,100000.0,0.308
8,200000.0,0.286
9,300000.0,0.265
10,400000.0,0.245
11,500000.0,0.228
12,600000.0,0.214
13,700000.0,0.203
14,900000.0,0.204
15,1000000.0,0.2
16,1200000.0,0.188
17,1400000.0,0.176
18,1600000.0,0.169
19,1800000.0,0.167
20,2000000.0,0.165
21,2200000.0,0.164
22,2400000.0,0.162
23,2600000.0,0.16
24,2800000.0,0.161
25,3000000.0,0.16
26,3200000.0,0.159
27,3400000.0,0.157
28,3600000.0,0.154
29,3800000.0,0.15
30,4000000.0,0.146
31,4200000.0,0.14
32,4400000.0,0.134
33,4600000.0,0.129
34,4800000.0,0.124
35,5000000.0,0.12
36,5200000.0,0.115
37,5400000.0,0.112
38,5600000.0,0.108
39,5800000.0,0.105
40,6000000.0,0.101
41,6200000.0,0.099
42,6400000.0,0.095
43,6600000.0,0.093
44,6800000.0,0.09
45,7000000.0,0.089
46,7200000.0,0.086
47,7400000.0,0.085
48,7600000.0,0.084
49,7800000.0,0.082
50,8000000.0,0.081
51,8500000.0,0.078
52,9000000.0,0.077
53,9500000.0,0.076
54,12000000.0,0.075
55,12500000.0,0.074
56,13000000.0,0.073
57,13500000.0,0.071
58,14000000.0,0.069
59,14500000.0,0.067
60,15000000.0,0.066
61,16000000.0,0.062
62,17000000.0,0.059
63,18000000.0,0.057
64,20000000.0,0.058
65,22000000.0,0.059
66,24000000.0,0.06
67,26000000.0,0.061
68,34000000.0,0.062
69,36000000.0,0.061
70,38000000.0,0.062
71,42000000.0,0.063
72,44000000.0,0.062
73,46000000.0,0.063
74,48000000.0,0.064
75,50000000.0,0.063
76,52000000.0,0.064
77,56000000.0,0.065
78,58000000.0,0.064
79,60000000.0,0.065
