Product;Th227  Thermal (0.0253 eV);Th227  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th232  Fast (500 keV);Th232  Fast (500 keV);Pa231  Fast (500 keV);Pa231  Fast (500 keV);U232  Thermal (0.0253 eV);U232  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U234  Fast (500 keV);U234  Fast (500 keV);U235  Thermal (0.0253 eV);U235  Thermal (0.0253 eV);U236  Fast (500 keV);U236  Fast (500 keV);U237  Fast (500 keV);U237  Fast (500 keV);U238  Fast (500 keV);U238  Fast (500 keV);Np237  Fast (500 keV);Np237  Fast (500 keV);Np238  Fast (500 keV);Np238  Fast (500 keV);Pu238  Fast (500 keV);Pu238  Fast (500 keV);Pu239  Thermal (0.0253 eV);Pu239  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am243  Fast (500 keV);Am243  Fast (500 keV);Cm242  Fast (500 keV);Cm242  Fast (500 keV);Cm243  Thermal (0.0253 eV);Cm243  Thermal (0.0253 eV);Cm244  Fast (500 keV);Cm244  Fast (500 keV);Cm245  Thermal (0.0253 eV);Cm245  Thermal (0.0253 eV);Cm246  Fast (500 keV);Cm246  Fast (500 keV);Cm248  Fast (500 keV);Cm248  Fast (500 keV);Cf249  Thermal (0.0253 eV);Cf249  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV)
Product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error
Ti66;;;;;1.81562E-20;1.162E-20;;;;;;;;;;;;;;;7.98702E-19;5.11169E-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V66;;;;;9.64206E-16;6.17092E-16;3.30602E-16;2.11585E-16;1.96075E-14;1.25488E-14;5.17176E-19;3.30993E-19;9.71536E-18;6.21783E-18;2.05032E-19;1.3122E-19;1.87064E-17;1.19721E-17;5.51216E-18;3.52778E-18;1.41848E-14;9.07827E-15;1.78916E-18;1.14506E-18;7.58793E-20;4.85627E-20;8.64479E-18;5.53266E-18;;;5.29855E-19;3.39107E-19;;;1.03317E-18;6.61232E-19;;;3.0676E-17;1.96327E-17;2.2847E-17;1.46221E-17;4.19682E-18;2.68596E-18;2.55635E-17;1.63606E-17;5.21352E-17;3.33665E-17;1.12871E-17;7.22376E-18;1.60612E-16;1.02792E-16;1.36878E-16;8.76021E-17;;;1.37035E-15;8.77027E-16;1.31208E-17;8.3973E-18
V67;;;;;5.95247E-18;3.80958E-18;2.12419E-17;1.35948E-17;1.06487E-15;6.81517E-16;;;9.82825E-19;6.29008E-19;;;2.02328E-18;1.2949E-18;1.14105E-18;7.30273E-19;2.75346E-16;1.76221E-16;;;;;5.95371E-19;3.81037E-19;;;;;;;;;;;2.82263E-18;1.80648E-18;2.32549E-18;1.48832E-18;;;3.87098E-18;2.47743E-18;4.18521E-18;2.67854E-18;1.15379E-18;7.38428E-19;1.56056E-17;9.98757E-18;1.91173E-17;1.22351E-17;;;1.43622E-16;9.19179E-17;;
V68;;;;;7.11979E-19;4.55667E-19;;;;;;;;;;;;;;;1.6886E-17;1.0807E-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.18113E-18;7.55921E-19;;;;;;
V69;;;;;1.604E-19;1.02656E-19;;;;;;;;;;;;;;;2.81559E-18;1.80198E-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cr66;0.0;0.0;0.0;0.0;3.17896E-12;2.03454E-12;8.55967E-12;5.47819E-12;3.72032E-10;2.38101E-10;2.44989E-14;1.56793E-14;4.79991E-13;3.07194E-13;2.40981E-14;1.54228E-14;6.25013E-13;4.00008E-13;5.15E-13;3.296E-13;1.70859E-11;1.0935E-11;5.44982E-14;3.48789E-14;1.17999E-14;7.55195E-15;1.83991E-13;1.17754E-13;0.0;0.0;2.50995E-14;1.60637E-14;0.0;0.0;3.9899E-14;2.55353E-14;0.0;0.0;7.44969E-13;4.7678E-13;1.67977E-13;1.07505E-13;2.54958E-14;1.63173E-14;3.52975E-13;2.25904E-13;4.54948E-13;2.91167E-13;1.95989E-13;1.25433E-13;1.40984E-12;9.02297E-13;2.47986E-12;1.58711E-12;0.0;0.0;2.1104E-11;1.35065E-11;6.93988E-13;4.44153E-13
Cr67;0.0;0.0;0.0;0.0;5.55982E-13;3.55828E-13;5.49979E-13;3.51986E-13;1.4801E-11;9.47264E-12;0.0;0.0;3.5699E-14;2.28474E-14;0.0;0.0;6.76014E-14;4.32649E-14;7.88998E-14;5.04958E-14;6.73977E-12;4.31345E-12;0.0;0.0;0.0;0.0;1.04994E-14;6.71962E-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.67972E-14;3.63502E-14;1.70977E-14;1.09425E-14;0.0;0.0;3.92962E-14;2.51495E-14;3.36958E-14;2.15653E-14;1.69989E-14;1.08793E-14;1.36984E-13;8.767E-14;2.86981E-13;1.83668E-13;0.0;0.0;1.62027E-12;1.03697E-12;1.98E-14;1.2672E-14
Cr68;0.0;0.0;0.0;0.0;7.82975E-14;5.01104E-14;2.41E-14;1.5424E-14;5.0507E-13;3.23245E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.47986E-13;2.86711E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.13988E-14;1.36952E-14;0.0;0.0;7.45188E-14;4.7692E-14;0.0;0.0
