Product;;
Product;;
Product;Yield;Error
H1;2.3537E-5;4.0013E-6
H2;7.1932E-6;1.1077E-6
H3;1.0262E-4;1.0157E-5
He3;1.0262E-4;1.0157E-5
He4;0.001488;8.6304E-5
Cr60;8.1271E-12;8.3998E-12
Cr61;8.5548E-12;1.0438E-11
Cr62;9.6666E-12;1.2935E-11
Cr63;2.7188E-12;3.9364E-12
Mn60;8.5916E-12;8.7772E-12
Mn60m;2.1777E-12;2.8502E-12
Mn61;2.487E-11;2.4931E-11
Mn62;3.6764E-11;3.9151E-11
Mn62m;9.8338E-12;1.1554E-11
Mn63;8.224E-11;8.9861E-11
Mn64;5.3839E-11;7.2463E-11
Mn65;5.1468E-11;7.2775E-11
Mn66;1.2428E-11;1.8118E-11
Mn67;2.933E-12;4.299E-12
Fe60;1.0519E-11;1.0543E-11
Fe61;2.487E-11;2.4931E-11
Fe62;6.1726E-11;6.1849E-11
Fe63;1.4577E-10;1.4607E-10
Fe64;3.3449E-10;3.3544E-10
Fe65;6.111E-10;6.3133E-10
Fe66;1.1E-9;1.2096E-9
Fe67;6.8631E-10;9.2529E-10
Fe68;4.6142E-10;6.594E-10
Fe69;8.7688E-11;1.2815E-10
Fe70;1.3897E-11;2.0418E-11
Co61;2.487E-11;2.4931E-11
Co62;6.1726E-11;6.1849E-11
Co63;1.4733E-10;1.4759E-10
Co64;3.5059E-10;3.5129E-10
Co65;8.3594E-10;8.3761E-10
Co66;1.937E-9;1.9414E-9
Co67;4.1933E-9;4.2239E-9
Co68;4.3051E-9;4.7644E-9
Co68m;2.6805E-9;3.2195E-9
Co69;8.3897E-9;1.0313E-8
Co70;1.8162E-9;2.6228E-9
Co70m;1.8301E-9;2.6323E-9
Co71;2.1945E-9;3.1846E-9
Co72;3.5952E-10;5.2535E-10
Co73;4.7198E-11;6.9124E-11
Co74;1.7532E-12;2.5709E-12
Ni61;2.487E-11;2.4931E-11
Ni62;6.1726E-11;6.1849E-11
Ni63;1.4733E-10;1.4759E-10
Ni64;3.5059E-10;3.5129E-10
Ni65;8.3785E-10;8.3953E-10
Ni66;1.9982E-9;2.002E-9
Ni67;4.7632E-9;4.7727E-9
Ni68;1.1401E-8;1.1383E-8
Ni69;1.6998E-8;1.7636E-8
Ni69m;8.692E-9;1.0562E-8
Ni70;5.6099E-8;5.6641E-8
Ni71;7.5045E-8;8.4407E-8
Ni72;1.0564E-7;1.3151E-7
Ni73;3.9347E-8;5.6131E-8
Ni74;1.4788E-8;2.1595E-8
Ni75;1.9261E-9;2.8224E-9
Ni76;1.9771E-10;2.8995E-10
Ni77;7.1199E-12;2.9818E-12
Cu63;1.4733E-10;1.4759E-10
Cu65;8.3785E-10;8.3953E-10
Cu66;1.9982E-9;2.002E-9
Cu67;4.7651E-9;4.7745E-9
Cu68;1.1448E-8;1.1383E-8
Cu68m;3.8447E-11;5.6122E-11
Cu69;2.7009E-8;2.7063E-8
Cu70;5.6353E-9;6.7959E-9
Cu70m;1.0128E-8;1.2279E-8
Cu70n;5.667E-8;5.7154E-8
Cu71;1.5197E-7;1.5228E-7
Cu72;3.2071E-7;3.2285E-7
Cu73;6.1804E-7;6.4298E-7
Cu74;5.4071E-7;6.7898E-7
Cu75;6.3012E-7;8.5814E-7
Cu76;9.4259E-8;1.3749E-7
Cu76m;9.4259E-8;1.3749E-7
Cu77;7.0412E-8;2.9394E-8
Cu78;4.4517E-9;4.3416E-9
Cu79;4.763E-10;4.401E-10
Cu80;5.922E-12;7.388E-12
Zn66;1.9982E-9;2.002E-9
Zn67;4.7651E-9;4.7745E-9
Zn68;1.1454E-8;1.1383E-8
Zn69;2.701E-8;2.7064E-8
Zn69m;1.2234E-12;1.7912E-12
Zn70;6.4627E-8;6.4756E-8
Zn71;1.5233E-7;1.5264E-7
Zn71m;1.7864E-9;2.5961E-9
Zn72;3.6747E-7;3.6821E-7
Zn73;7.7245E-7;7.7724E-7
Zn73m;1.3201E-7;1.6208E-7
Zn73n;2.0206E-7;2.5944E-7
Zn74;2.068E-6;2.0722E-6
Zn75;4.1844E-6;4.2336E-6
Zn76;8.2929E-6;8.6782E-6
Zn77;1.1581E-5;2.6553E-6
Zn77m;1.4369E-6;4.4641E-7
Zn78;1.1222E-5;9.4859E-6
Zn79;1.4644E-6;1.3443E-6
Zn80;4.5418E-6;5.6081E-6
Zn81;1.8645E-8;1.8329E-8
Zn82;1.4134E-9;1.0029E-9
Ga69;2.701E-8;2.7064E-8
Ga71;1.5412E-7;1.5441E-7
Ga72;3.6753E-7;3.6823E-7
Ga72m;1.225E-8;1.4662E-8
Ga73;8.765E-7;8.7825E-7
Ga74;1.5896E-6;1.619E-6
Ga74m;2.09E-6;2.0942E-6
Ga75;4.9615E-6;4.9715E-6
Ga76;1.1753E-5;1.1788E-5
Ga77;2.4529E-5;4.0996E-6
Ga78;3.9287E-5;2.5659E-5
Ga79;6.5845E-5;4.6163E-5
Ga80;3.1791E-5;3.4755E-5
Ga81;3.1931E-5;3.0307E-5
Ga82;3.0927E-5;2.1614E-5
Ga83;5.7429E-6;3.8521E-6
Ga84;2.4095E-8;2.2788E-8
Ga85;1.0224E-9;4.35E-10
Ge72;3.6753E-7;3.6823E-7
Ge73;8.765E-7;8.7825E-7
Ge73m;8.6363E-7;8.654E-7
Ge74;2.1122E-6;2.0942E-6
Ge75;4.9646E-6;4.9745E-6
Ge75m;2.0119E-7;2.4769E-7
Ge76;1.1877E-5;1.1913E-5
Ge77;1.0194E-5;2.1347E-6
Ge77m;2.5248E-5;4.1925E-6
Ge78;5.0564E-5;3.251E-5
Ge79;7.8569E-5;5.1512E-5
Ge79m;7.447E-5;5.08E-5
Ge80;2.4911E-4;2.1073E-4
Ge81;4.4094E-4;2.9465E-4
Ge81m;1.0149E-4;7.9507E-5
Ge82;0.0011355;5.2258E-4
Ge83;6.9523E-4;3.7178E-4
Ge84;3.2727E-4;2.945E-4
Ge85;1.6777E-4;6.9171E-5
Ge86;5.6421E-5;2.1244E-5
Ge87;2.8781E-6;1.0135E-6
Ge88;8.4614E-10;2.9957E-10
As75;4.9646E-6;4.9746E-6
As75m;6.0357E-11;7.5375E-11
As76;1.9119E-11;2.8039E-11
As77;3.0648E-5;4.9955E-6
As78;5.0634E-5;3.251E-5
As79;1.5301E-4;9.2113E-5
As80;2.6728E-4;2.2274E-4
As81;6.0131E-4;3.9025E-4
As82;0.0012178;5.5278E-4
As82m;2.8677E-4;1.7519E-4
As83;0.0018425;8.0227E-4
As84;8.3371E-4;6.5968E-4
As84m;8.3371E-4;6.5968E-4
As85;0.0018103;5.051E-4
As86;8.3585E-4;2.6022E-4
As87;4.1835E-4;1.3951E-4
As88;7.951E-5;2.799E-5
As89;2.3402E-5;8.8617E-6
As90;1.5383E-6;6.3356E-7
Se76;1.9119E-11;2.8039E-11
Se77;3.0648E-5;4.9955E-6
Se78;5.0634E-5;3.251E-5
Se79;1.5293E-4;9.2063E-5
Se79m;1.4939E-4;8.9943E-5
Se80;2.6739E-4;2.2274E-4
Se81;6.0529E-4;3.9102E-4
Se81m;2.5108E-5;1.8929E-5
Se82;0.0016212;7.1981E-4
Se83;0.0011518;5.1975E-4
Se83m;0.0012785;5.7383E-4
Se84;0.0044167;0.002932
Se85;0.0074804;0.0011772
Se86;0.0093182;6.915E-4
Se87;0.008677;8.1855E-4
Se88;0.0054513;0.0011986
Se89;0.0026464;9.5909E-4
Se90;7.9999E-4;3.324E-4
Se91;1.8993E-4;7.1813E-5
Se92;2.9534E-5;1.0088E-5
Se93;3.0449E-9;1.074E-9
Br79;8.3657E-8;6.0479E-8
Br81;6.053E-4;3.9102E-4
Br82;4.9567E-8;3.0737E-8
Br82m;1.339E-8;9.5011E-9
Br83;0.0024327;0.0010307
Br84;0.0044307;0.002932
Br84m;1.3947E-5;1.3152E-5
Br85;0.0079972;0.0012557
Br86;0.011017;7.9446E-4
Br87;0.014744;8.4E-4
Br88;0.014252;0.0010579
Br89;0.012502;0.0016218
Br90;0.0061892;0.0017022
Br91;0.0044533;0.0014805
Br92;0.0014051;4.6349E-4
Br93;5.0905E-4;1.8026E-4
Br94;4.87E-5;1.8633E-5
Br95;8.6713E-6;3.3655E-6
Kr82;4.9888E-8;3.0839E-8
Kr83;0.0024327;0.0010307
Kr83m;0.0024305;0.0010307
Kr84;0.0044446;0.002932
Kr85;0.0017342;3.1985E-4
Kr85m;0.0079866;0.0012541
